TestNo,TestName,Runtime
1,org.apache.commons.math3.exception.util.ArgUtilsTest,2
2,org.apache.commons.math3.genetics.FixedGenerationCountTest,5
3,org.apache.commons.math3.ml.distance.CanberraDistanceTest,5
4,org.apache.commons.math3.ml.distance.EarthMoversDistanceTest,5
5,org.apache.commons.math3.geometry.euclidean.threed.RotationOrderTest,6
6,org.apache.commons.math3.util.PairTest,6
7,org.apache.commons.math3.exception.DimensionMismatchExceptionTest,7
8,org.apache.commons.math3.util.ContinuedFractionTest,7
9,org.apache.commons.math3.genetics.ChromosomeTest,8
10,org.apache.commons.math3.geometry.partitioning.utilities.AVLTreeTest,8
11,org.apache.commons.math3.exception.NotStrictlyPositiveExceptionTest,9
12,org.apache.commons.math3.genetics.BinaryMutationTest,9
13,org.apache.commons.math3.genetics.OnePointCrossoverTest,9
14,org.apache.commons.math3.genetics.RandomKeyMutationTest,9
15,org.apache.commons.math3.linear.MatrixDimensionMismatchExceptionTest,9
16,org.apache.commons.math3.ml.distance.ChebyshevDistanceTest,9
17,org.apache.commons.math3.exception.MaxCountExceededExceptionTest,10
18,org.apache.commons.math3.exception.NonMonotonicSequenceExceptionTest,10
19,org.apache.commons.math3.exception.NotPositiveExceptionTest,10
20,org.apache.commons.math3.exception.NumberIsTooSmallExceptionTest,10
21,org.apache.commons.math3.stat.descriptive.moment.InteractionTest,10
22,org.apache.commons.math3.stat.descriptive.rank.MedianTest,10
23,org.apache.commons.math3.RetryRunnerTest,11
24,org.apache.commons.math3.exception.NumberIsTooLargeExceptionTest,11
25,org.apache.commons.math3.exception.OutOfRangeExceptionTest,11
26,org.apache.commons.math3.fitting.WeightedObservedPointsTest,11
27,org.apache.commons.math3.genetics.TournamentSelectionTest,11
28,org.apache.commons.math3.optimization.PointValuePairTest,11
29,org.apache.commons.math3.linear.OpenMapRealMatrixTest,12
30,org.apache.commons.math3.ml.distance.EuclideanDistanceTest,12
31,org.apache.commons.math3.optim.PointVectorValuePairTest,12
32,org.apache.commons.math3.optim.univariate.SimpleUnivariateValueCheckerTest,12
33,org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunctionTest,13
34,org.apache.commons.math3.complex.ComplexFieldTest,13
35,org.apache.commons.math3.geometry.euclidean.twod.SegmentTest,13
36,org.apache.commons.math3.ml.distance.ManhattanDistanceTest,13
37,org.apache.commons.math3.util.BigRealFieldTest,13
38,org.apache.commons.math3.optim.SimplePointCheckerTest,14
39,org.apache.commons.math3.optim.SimpleVectorValueCheckerTest,14
40,org.apache.commons.math3.genetics.BinaryChromosomeTest,15
41,org.apache.commons.math3.optim.SimpleValueCheckerTest,15
42,org.apache.commons.math3.optim.univariate.BracketFinderTest,15
43,org.apache.commons.math3.optimization.SimpleValueCheckerTest,15
44,org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorTest,16
45,org.apache.commons.math3.complex.RootsOfUnityTest,16
46,org.apache.commons.math3.optimization.SimplePointCheckerTest,16
47,org.apache.commons.math3.optimization.SimpleVectorValueCheckerTest,16
48,org.apache.commons.math3.util.MultidimensionalCounterTest,16
49,org.apache.commons.math3.util.TransformerMapTest,16
50,org.apache.commons.math3.optim.PointValuePairTest,17
51,org.apache.commons.math3.optimization.univariate.BracketFinderTest,17
52,org.apache.commons.math3.optimization.univariate.SimpleUnivariateValueCheckerTest,17
53,org.apache.commons.math3.util.IncrementorTest,17
54,org.apache.commons.math3.genetics.CycleCrossoverTest,18
55,org.apache.commons.math3.genetics.ElitisticListPopulationTest,19
56,org.apache.commons.math3.genetics.NPointCrossoverTest,19
57,org.apache.commons.math3.genetics.OrderedCrossoverTest,19
58,org.apache.commons.math3.optimization.PointVectorValuePairTest,19
59,org.apache.commons.math3.stat.descriptive.StatisticalSummaryValuesTest,19
60,org.apache.commons.math3.analysis.integration.SimpsonIntegratorTest,20
61,org.apache.commons.math3.analysis.integration.gauss.HermiteTest,20
62,org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolverTest,20
63,org.apache.commons.math3.analysis.solvers.NewtonSolverTest,20
64,org.apache.commons.math3.geometry.euclidean.oned.IntervalTest,20
65,org.apache.commons.math3.geometry.euclidean.twod.LineTest,20
66,org.apache.commons.math3.ode.sampling.DummyStepInterpolatorTest,20
67,org.apache.commons.math3.analysis.integration.RombergIntegratorTest,21
68,org.apache.commons.math3.analysis.interpolation.SplineInterpolatorTest,21
69,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonFormTest,21
70,org.apache.commons.math3.geometry.euclidean.threed.LineTest,21
71,org.apache.commons.math3.stat.descriptive.rank.PercentileTest,21
72,org.apache.commons.math3.stat.inference.WilcoxonSignedRankTestTest,21
73,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeFormTest,22
74,org.apache.commons.math3.linear.SparseFieldVectorTest,22
75,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,22
76,org.apache.commons.math3.transform.FastHadamardTransformerTest,22
77,org.apache.commons.math3.analysis.solvers.BisectionSolverTest,23
78,org.apache.commons.math3.analysis.solvers.RiddersSolverTest,23
79,org.apache.commons.math3.exception.TooManyEvaluationsExceptionTest,23
80,org.apache.commons.math3.stat.clustering.EuclideanDoublePointTest,23
81,org.apache.commons.math3.stat.clustering.EuclideanIntegerPointTest,23
82,org.apache.commons.math3.stat.descriptive.MixedListUnivariateImplTest,23
83,org.apache.commons.math3.util.DefaultTransformerTest,23
84,org.apache.commons.math3.analysis.integration.TrapezoidIntegratorTest,24
85,org.apache.commons.math3.analysis.solvers.MullerSolverTest,24
